version,sales
1,295
1,115
1,201
1,251
1,237
1,320
1,254
1,228
1,168
1,225
1,194
1,191
1,93
1,139
1,220
1,214
1,180
1,192
1,208
1,218
1,235
1,132
1,237
1,166
1,248
1,180
1,129
1,91
1,152
1,79
1,157
1,34
1,265
1,110
1,243
1,195
1,247
1,236
1,240
1,234
1,263
1,130
1,75
1,212
1,210
1,155
1,253
1,166
1,34
1,201
1,227
1,170
1,239
1,249
1,218
1,266
1,132
1,221
1,207
1,237
1,240
1,172
1,145
1,212
1,210
1,163
1,299
1,95
1,257
1,237
1,194
1,197
1,185
1,280
1,168
1,194
1,136
1,173
1,320
1,134
1,226
1,216
1,273
1,186
1,178
1,256
1,238
1,304
1,183
1,186
1,221
1,111
1,53
1,197
1,293
1,216
1,202
1,267
1,161
1,96
1,290
1,307
1,145
1,243
1,266
1,158
1,212
1,131
1,195
1,115
1,194
1,107
1,182
1,154
1,216
1,243
1,216
1,263
1,206
1,266
1,149
1,158
1,190
1,199
1,143
1,204
1,217
1,265
1,207
1,229
1,177
1,248
1,152
1,162
1,219
1,248
1,179
1,228
1,181
1,154
1,173
1,250
1,198
1,209
1,220
1,226
1,289
1,209
1,141
1,119
1,150
1,221
1,213
1,224
1,145
1,106
1,241
1,129
1,220
1,175
1,138
1,239
1,70
1,145
1,232
1,171
1,111
1,194
1,130
1,303
1,202
1,335
1,171
1,168
1,183
1,201
1,234
1,244
1,200
1,229
2,243
2,248
2,246
2,130
2,270
2,192
2,216
2,247
2,90
2,161
2,280
2,213
2,119
2,337
2,220
2,219
2,195
2,215
2,203
2,145
2,240
2,255
2,237
2,173
2,192
2,284
2,224
2,199
2,267
2,248
2,157
2,91
2,192
2,220
2,305
2,229
2,208
2,239
2,276
2,203
2,140
2,192
2,308
2,244
2,241
2,186
2,253
2,251
2,224
2,152
2,199
2,105
2,204
2,215
2,245
2,246
2,198
2,333
2,147
2,255
2,229
2,235
2,230
2,256
2,175
2,276
2,174
2,201
2,228
2,196
2,187
2,180
2,170
2,259
2,202
2,225
2,216
2,183
2,228
2,309
2,270
2,226
2,226
2,212
2,273
2,243
2,358
2,201
2,197
2,218
2,270
2,257
2,198
2,211
2,223
2,160
2,224
2,227
2,316
2,154
2,250
2,145
2,244
2,207
2,267
2,206
2,205
2,197
2,214
2,246
2,300
2,272
2,261
2,269
2,217
2,209
2,270
2,241
2,286
2,174
2,224
2,183
2,219
2,207
2,226
2,173
2,146
2,207
2,158
2,291
2,262
2,241
2,319
2,210
2,146
2,225
2,237
2,253
2,203
2,174
2,255
2,198
2,233
2,243
2,119
2,315
2,260
2,232
2,200
2,331
2,237
2,276
2,149
2,174
2,207
2,212
2,130
2,214
2,185
2,130
2,261
2,231
2,227
2,294
2,280
2,189
2,256
2,234
2,169
2,251
2,175
2,196
2,211
2,294
2,172
2,201
2,213
2,239
2,162
2,201
3,231
3,142
3,174
3,113
3,177
3,160
3,158
3,211
3,315
3,228
3,331
3,184
3,191
3,211
3,230
3,224
3,178
3,129
3,238
3,118
3,143
3,150
3,187
3,141
3,204
3,80
3,155
3,215
3,187
3,204
3,269
3,157
3,205
3,171
3,194
3,171
3,257
3,138
3,160
3,196
3,223
3,261
3,58
3,177
3,176
3,248
3,180
3,209
3,254
3,285
3,185
3,221
3,224
3,198
3,198
3,170
3,209
3,190
3,239
3,145
3,180
3,210
3,243
3,212
3,160
3,257
3,210
3,269
3,205
3,221
3,216
3,198
3,157
3,216
3,162
3,264
3,187
3,166
3,160
3,215
3,137
3,273
3,196
3,145
3,243
3,199
3,251
3,116
3,207
3,272
3,160
3,204
3,294
3,170
3,251
3,310
3,272
3,209
3,146
3,231
3,237
3,282
3,210
3,127
3,266
3,176
3,208
3,62
3,193
3,199
3,244
3,119
3,198
3,242
3,213
3,305
3,121
3,200
3,96
3,198
3,194
3,255
3,187
3,250
3,114
3,159
3,181
3,242
3,243
3,209
3,176
3,183
3,186
3,274
3,134
3,217
3,256
3,179
3,164
3,180
3,270
3,190
3,211
3,215
3,169
3,274
3,166
3,272
3,158
3,231
3,311
3,149
3,184
3,276
3,160
3,301
3,222
3,250
3,168
3,99
3,130
3,125
3,181
3,264
3,309
3,226
3,205
3,181
3,249
3,217
3,110
3,163
3,168
3,105
3,134
3,220
3,222
3,202
3,166
3,209
